2025-04-15 17:19:57 status half-installed libcap-ng0:arm64 0.8.5-4build1
2025-04-15 17:19:57 status unpacked libcap-ng0:arm64 0.8.5-4build1
2025-04-15 17:19:57 install libcap2:arm64 <none> 1:2.73-4ubuntu1
2025-04-15 17:19:57 status half-installed libcap2:arm64 1:2.73-4ubuntu1
2025-04-15 17:19:57 status unpacked libcap2:arm64 1:2.73-4ubuntu1
2025-04-15 17:19:57 install libcom-err2:arm64 <none> 1.47.2-1ubuntu1
2025-04-15 17:19:57 status half-installed libcom-err2:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:57 status unpacked libcom-err2:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:57 install libcrypt1:arm64 <none> 1:4.4.38-1
2025-04-15 17:19:57 status half-installed libcrypt1:arm64 1:4.4.38-1
2025-04-15 17:19:57 status unpacked libcrypt1:arm64 1:4.4.38-1
2025-04-15 17:19:57 install libdb5.3t64:arm64 <none> 5.3.28+dfsg2-9
2025-04-15 17:19:57 status half-installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-04-15 17:19:58 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-04-15 17:19:58 install libdebconfclient0:arm64 <none> 0.277ubuntu1
2025-04-15 17:19:58 status half-installed libdebconfclient0:arm64 0.277ubuntu1
2025-04-15 17:19:58 status unpacked libdebconfclient0:arm64 0.277ubuntu1
2025-04-15 17:19:58 install libext2fs2t64:arm64 <none> 1.47.2-1ubuntu1
2025-04-15 17:19:58 status half-installed libext2fs2t64:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:58 status unpacked libext2fs2t64:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:58 install libgcc-s1:arm64 <none> 15-20250404-0ubuntu1
2025-04-15 17:19:58 status half-installed libgcc-s1:arm64 15-20250404-0ubuntu1
2025-04-15 17:19:58 status unpacked libgcc-s1:arm64 15-20250404-0ubuntu1
2025-04-15 17:19:58 install libgmp10:arm64 <none> 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:19:58 status half-installed libgmp10:arm64 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:19:58 status unpacked libgmp10:arm64 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:19:58 install liblzma5:arm64 <none> 5.6.4-1ubuntu1
2025-04-15 17:19:58 status half-installed liblzma5:arm64 5.6.4-1ubuntu1
2025-04-15 17:19:58 status unpacked liblzma5:arm64 5.6.4-1ubuntu1
2025-04-15 17:19:58 install libmd0:arm64 <none> 1.1.0-2build2
2025-04-15 17:19:58 status half-installed libmd0:arm64 1.1.0-2build2
2025-04-15 17:19:58 status unpacked libmd0:arm64 1.1.0-2build2
2025-04-15 17:19:58 install libmount1:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:19:58 status half-installed libmount1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:58 status unpacked libmount1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:58 install libncursesw6:arm64 <none> 6.5+20250216-2
2025-04-15 17:19:58 status half-installed libncursesw6:arm64 6.5+20250216-2
2025-04-15 17:19:58 status unpacked libncursesw6:arm64 6.5+20250216-2
2025-04-15 17:19:58 install libpam-modules:arm64 <none> 1.5.3-7ubuntu4
2025-04-15 17:19:58 status half-installed libpam-modules:arm64 1.5.3-7ubuntu4
2025-04-15 17:19:58 status unpacked libpam-modules:arm64 1.5.3-7ubuntu4
2025-04-15 17:19:58 install libpam-modules-bin:arm64 <none> 1.5.3-7ubuntu4
2025-04-15 17:19:58 status half-installed libpam-modules-bin:arm64 1.5.3-7ubuntu4
2025-04-15 17:19:58 status unpacked libpam-modules-bin:arm64 1.5.3-7ubuntu4
